Player,GP,PTS,2PM,3PM,FGM,FTM,OREB,DREB,AST,STL,BLK,GD,TO,PF,PP
Lee Jeong-hyun,44,1003,210,129,339,196,29,120,291,87,6,25,112,112,179
Lee Sun Albano,54,861,237,91,328,114,36,124,356,79,8,6,108,131,189
Heo Woong,52,825,133,136,269,151,9,84,193,27,1,17,96,116,109
Sam Joseph Belangel,52,657,173,72,245,95,19,96,195,49,0,22,68,137,152
Park Ji-hoon,53,639,209,53,262,62,58,133,231,75,5,11,95,154,177
Lee Jae-do,54,595,145,71,216,92,36,114,231,49,6,6,88,103,84
Lee Jung-hyun,54,588,106,84,190,124,15,165,270,33,3,1,110,121,83
Oh Jae-hyun,51,567,147,61,208,90,31,110,142,65,4,5,72,142,128
Choi Seong-won,49,564,84,102,186,90,16,64,199,32,0,3,69,87,57
Lee Gwan-hee,54,504,95,79,174,77,17,86,58,21,7,3,39,47,66
Jung Seong-woo,54,442,105,58,163,58,31,82,254,63,2,12,69,134,86
Yoo Gi-sang,52,419,42,95,137,50,43,72,28,46,24,3,28,107,26
Heo Hoon,27,407,74,70,144,49,18,39,97,29,5,2,55,47,58
Lee Ho-hyun,48,405,114,41,155,54,28,79,119,25,1,19,44,111,93
Kim Sun-hyung,35,362,98,36,134,58,19,45,158,57,10,0,50,67,92
Kim Nak-hyun,33,351,64,59,123,46,20,50,101,25,0,4,39,67,46
Bae Byeong-jun,36,329,63,58,121,29,12,54,49,20,4,1,29,51,52
Han Ho-bin,43,310,51,58,109,34,22,65,157,40,0,9,44,91,34
Lenz Abando,30,298,104,13,117,51,48,81,34,24,31,3,40,52,89
Park Mu-bin,32,292,74,34,108,42,34,68,136,20,0,9,67,78,61
