Index,Name,Position,Team,Season,Matches,Sets,Attack,Blocking,Serve,Score,Average per Set Dig
1,Moma,OP,Suwon Hyundai,23/24,36,141,801,59,26,886,2.09
2,Yang Hyo-Jin,MB,Suwon Hyundai,23/24,36,141,425,109,12,546,1.21
3,Wi Pa-Wi,OH,Suwon Hyundai,23/24,32,120,258,25,9,292, 3.4
4,Lee Da-Hyun,MB,Suwon Hyundai,23/24,36,140,191,80,14,285,1.04
5,Jeong Ji-Yoon,OH,Suwon Hyundai,23/24,31,115,209,33,12,254,1.83
6,Kim Joo-Hyang,OH,Suwon Hyundai,23/24,20,53,65,9,11,85,2.28
7,Kim Da-In,S,Suwon Hyundai,23/24,35,136,16,18,31,65,2.82
8,Go Yae-Rim,OH,Suwon Hyundai,23/24,15,40,25,2,4,31,2.05
9,Go Min-Ji,OH,Suwon Hyundai,23/24,33,99,8,0,9,17,1.14
10,Na Hyun-Soo,MB,Suwon Hyundai,23/24,33,61,11,2,0,13,0.1
11,Hwang Yeon-Joo,OP,Suwon Hyundai,23/24,7,7,0,1,8,0,0.57
12,Han Mi-Rrr,L,Suwon Hyundai,23/24,35,92,0,0,5,5,0.22
13,Kim Sa-Rang,S,Suwon Hyundai,23/24,12,16,0,0,1,1,0.38
14,Lee Young-Joo,L,Suwon Hyundai,23/24,8,12,0,0,0,0,0.42
15,Jeong Si-Young,OH,Suwon Hyundai,23/24,1,1,0,0,0,0,3.0
16,Kim Yeon-Gyeon,L,Suwon Hyundai,23/24,36,141,0,0,0,0,4.91
17,Choi Seo-Hyun,S,Suwon Hyundai,23/24,0,0,0,0,0,0,0.0
18,Seo Ji-Hye,OH,Suwon Hyundai,23/24,1,1,0,0,0,0,0.0
19,Choi Ho-Seon,OP,Suwon Hyundai,23/24,1,1,0,0,0,0,0.0
20,Lee Na-Yeon,S,Suwon Hyundai,23/24,4,5,0,0,0,0,0.6
21,Kim Yeon-Koung,OH,Pink Spiders,23/24,36,140,695,51,29,775,3.83
22,Elena,OP,Pink Spiders,23/24,24,96,457,21,23,501,3.44
23,Reina,OH,Pink Spiders,23/24,35,129,349,30,9,388,2.16
24,Willow,OP,Pink Spiders,23/24,11,38,197,5,12,214,2.89
25,Lee Ju-Ah,MB,Pink Spiders,23/24,34,128,120,79,15,214,1.22
26,Kim Soo-Ji,MB,Pink Spiders,23/24,34,121,81,54,20,155,1.09
27,Kim Mi-Yeon,OH,Pink Spiders,23/24,30,97,122,20,12,154,2.53
28,Lee Won-Jeong,S,Pink Spiders,23/24,32,116,21,31,15,67,2.45
