Name,Start Longitude (deg),Start Latitude (deg),End Longitude (deg),End Latitude (deg)
A582,127.348575,36.83835833,127.500925,36.71436667
A582,127.500925,36.71436667,127.8191722,36.45342222
A582,127.8191722,36.45342222,128.0299697,36.27914028
A582,128.0299697,36.27914028,128.5907703,35.80983494
A582,128.5907703,35.80983494,128.7740249,35.50335003
A582,128.7740249,35.50335003,128.9995818,35.12263644
A586,127.0730556,33.72222222,127.331378,33.91454919
A586,127.331378,33.91454919,127.792902,34.25466028
A586,127.792902,34.25466028,128.4976922,34.76535483
A586,128.4976922,34.76535483,128.8393581,35.00914167
A586,129.2983333,35.42027778,129.8234432,35.93573078
A586,130.1952778,36.29527778,130.6788916,36.75579567
B576,126.6241196,33.38460522,126.7170492,34.25407056
B576,126.7170492,34.25407056,126.8121194,35.12623581
B576,126.8121194,35.12623581,126.8553833,35.52115
B576,126.8553833,35.52115,126.8969425,35.89779972
B576,126.8969425,35.89779972,126.9514333,36.38625278
B576,126.9514333,36.38625278,126.9909903,36.73705139
B576,126.9283553,37.41361853,126.9931833,37.21361389
B576,126.9931833,37.21361389,127.0316667,37.09436944
G585,129.4745358,35.97719656,128.847475,36.33725833
G585,128.847475,36.33725833,128.3254074,36.63201725
G585,128.3254074,36.63201725,128.1644361,36.72373056
G585,128.1644361,36.72373056,127.9527434,36.84367747
G585,127.7963567,36.9316095,127.6396833,37.01970278
G585,127.6396833,37.01970278,127.4437217,37.129056
G585,127.4437217,37.129056,127.1124528,37.312475
G585,127.1124528,37.312475,126.9283553,37.41361853
G597,126.9283553,37.41361853,127.3794165,37.48741728
G597,127.3794165,37.48741728,127.6644444,37.53305556
G597,127.6644444,37.53305556,128.1352778,37.60694444
G597,128.5844444,37.67555556,128.7537661,37.70077589
G597,128.7537661,37.70077589,129.2918769,37.44204439
G597,126.9283553,37.41361853,126.51,37.41166667
A582,126.9283553,37.41361853,126.9931833,37.21361389
A582,126.9931833,37.21361389,127.0316667,37.09436944
A582,127.0316667,37.09436944,127.348575,36.83835833
G585,129.4745358,35.97719656,129.8234432,35.93573078
Y253,126.8651069,35.12653894,127.3144602,35.12884131
Y253,127.3144602,35.12884131,127.5896642,35.12942878
Y253,127.5896642,35.12942878,128.4977031,35.12693447
Y253,128.4977031,35.12693447,128.5296256,35.12675028
V547,126.8121194,35.12623581,127.8185057,35.51765317
V547,127.8185057,35.51765317,128.5907703,35.80983494
V549,126.8969425,35.89779972,127.2616667,35.88083333
V549,127.6144444,35.863475,128.5907703,35.80983494
V549,128.5907703,35.80983494,129.0811111,35.90349722
V549,129.0811111,35.90349722,129.4745358,35.97719656
W45,126.8027778,35.12305556,127.5838889,35.1275
W45,127.5838889,35.1275,128.4977778,35.12611111
W45,128.4977778,35.12611111,128.9995818,35.12263644
Z54,126.51,37.41166667,126.8373944,37.21316308
Z50,127.3794165,37.48741728,127.0316667,37.09436944
Z83,128.529722,35.1266665,128.5609923,35.47970869
Z83,128.5609923,35.47970869,128.5907703,35.80983494
Y744,128.9995818,35.12263644,129.1589254,35.41170189
Y744,129.1589254,35.41170189,129.4745358,35.97719656
Y744,129.4745358,35.97719656,129.4300801,36.33772814
Y744,129.4300801,36.33772814,129.3323993,37.12086061
